"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","5,796.22","5,659.91","5,802.99","5,622.95","","2.26%"
"11/01/2025","5,668.17","5,664.18","5,818.07","5,473.88","","0.11%"
"10/01/2025","5,662.04","5,513.15","5,734.28","5,487.67","","2.39%"
"09/01/2025","5,529.96","5,351.44","5,529.96","5,290.46","","3.33%"
"08/01/2025","5,351.73","5,304.04","5,510.69","5,154.83","","0.60%"
"07/01/2025","5,319.92","5,308.01","5,470.81","5,265.94","","0.31%"
"06/01/2025","5,303.24","5,337.40","5,435.42","5,189.59","","-1.18%"
"05/01/2025","5,366.59","5,201.10","5,467.28","5,201.10","","4.00%"
"04/01/2025","5,160.22","5,270.25","5,328.91","4,540.22","","-1.68%"
"03/01/2025","5,248.39","5,469.10","5,568.19","5,218.48","","-3.94%"
"02/01/2025","5,463.54","5,228.61","5,544.12","5,174.01","","3.34%"
"01/01/2025","5,286.87","4,890.54","5,314.29","4,845.89","","8.58%"
"12/01/2024","4,869.28","4,785.15","5,007.70","4,764.38","","1.35%"
"11/01/2024","4,804.40","4,829.48","4,946.48","4,688.68","","-0.48%"
"10/01/2024","4,827.63","5,004.37","5,053.23","4,805.23","","-3.46%"
"09/01/2024","5,000.45","4,955.87","5,071.41","4,732.86","","0.86%"
"08/01/2024","4,957.98","4,867.09","4,980.86","4,473.94","","1.75%"
"07/01/2024","4,872.94","4,924.08","5,051.59","4,767.15","","-0.43%"
"06/01/2024","4,894.02","5,008.10","5,082.07","4,819.56","","-1.80%"
"05/01/2024","4,983.67","4,907.33","5,102.30","4,888.11","","1.27%"
"04/01/2024","4,921.22","5,096.86","5,121.71","4,884.12","","-3.19%"
"03/01/2024","5,083.42","4,888.58","5,103.26","4,874.03","","4.22%"
"02/01/2024","4,877.77","4,641.94","4,898.37","4,619.48","","4.93%"
"01/01/2024","4,648.40","4,528.45","4,674.74","4,380.97","","2.80%"
"12/01/2023","4,521.65","4,393.04","4,593.11","4,393.04","","3.18%"
"11/01/2023","4,382.47","4,069.65","4,392.81","4,049.87","","7.91%"
"10/01/2023","4,061.12","4,181.62","4,234.49","3,993.10","","-2.72%"
"09/01/2023","4,174.66","4,296.31","4,326.90","4,106.48","","-2.85%"
"08/01/2023","4,297.11","4,469.62","4,469.62","4,175.37","","-3.90%"
"07/01/2023","4,471.31","4,401.03","4,491.51","4,197.97","","1.64%"
"06/01/2023","4,399.09","4,222.56","4,410.20","4,222.56","","4.29%"
"05/01/2023","4,218.04","4,353.41","4,412.88","4,210.69","","-3.24%"
"04/01/2023","4,359.31","4,312.99","4,411.67","4,286.21","","1.03%"
"03/01/2023","4,315.05","4,243.38","4,325.34","3,980.94","","1.81%"
"02/01/2023","4,238.38","4,168.81","4,316.17","4,159.01","","1.80%"
"01/01/2023","4,163.45","3,802.51","4,197.47","3,802.51","","9.75%"
"12/01/2022","3,793.62","3,970.68","4,035.15","3,767.26","","-4.32%"
"11/01/2022","3,964.72","3,628.60","3,976.43","3,563.42","","9.60%"
"10/01/2022","3,617.54","3,309.02","3,631.23","3,256.32","","9.02%"
"09/01/2022","3,318.20","3,514.49","3,683.02","3,249.57","","-5.66%"
"08/01/2022","3,517.25","3,705.76","3,819.12","3,517.25","","-5.15%"
"07/01/2022","3,708.10","3,450.62","3,720.16","3,357.06","","7.33%"
"06/01/2022","3,454.86","3,800.10","3,857.27","3,411.83","","-8.82%"
"05/01/2022","3,789.21","3,772.91","3,852.68","3,526.86","","-0.36%"
"04/01/2022","3,802.86","3,906.57","3,969.04","3,675.54","","-2.55%"
"03/01/2022","3,902.52","3,920.03","4,024.89","3,387.00","","-0.55%"
"02/01/2022","3,924.23","4,184.63","4,259.28","3,765.42","","-6.00%"
"01/01/2022","4,174.60","4,303.94","4,395.78","4,035.28","","-3.05%"
"12/01/2021","4,306.07","4,080.85","4,319.69","4,046.69","","5.98%"
"11/01/2021","4,063.06","4,256.93","4,415.23","4,027.43","","-4.41%"
"10/01/2021","4,250.56","4,037.16","4,250.68","3,965.87","","5.00%"
"09/01/2021","4,048.08","4,207.00","4,252.78","4,011.49","","-3.53%"
"08/01/2021","4,196.41","4,095.50","4,242.26","4,082.07","","2.62%"
"07/01/2021","4,089.30","4,068.20","4,128.81","3,904.78","","0.62%"
"06/01/2021","4,064.30","4,044.07","4,165.59","4,044.07","","0.61%"
"05/01/2021","4,039.46","3,979.50","4,075.87","3,857.76","","1.63%"
"04/01/2021","3,974.74","3,922.36","4,040.88","3,922.36","","1.42%"
"03/01/2021","3,919.21","3,658.12","3,929.49","3,656.21","","7.78%"
"02/01/2021","3,636.44","3,492.86","3,742.53","3,492.86","","4.45%"
"01/01/2021","3,481.44","3,565.68","3,657.83","3,473.76","","-2.52%"